token_id,token,frequency
0,a,48
1,adjusts,1
2,an,8
3,and,1
4,applies,1
5,attention,3
6,be,2
7,between,1
8,bias,3
9,by,2
10,can,3
11,change,1
12,chosen,2
13,collection,2
14,conditions,1
15,corpus,3
16,create,1
17,data,1
18,descent,3
19,determines,1
20,does,6
21,during,2
22,embedding,3
23,emphasizes,1
24,error,2
25,fact,1
26,fit,1
27,from,1
28,function,1
29,functions,1
30,gradient,3
31,gradients,1
32,has,1
33,helps,1
34,improvement,1
35,in,1
36,inference,3
37,input,2
38,inputs,1
39,instruct,1
40,intent,1
41,is,22
42,itself,1
43,know,1
44,language,6
45,large,3
46,learn,1
47,learned,1
48,likelihood,1
49,maps,1
50,mathematical,1
51,meaning,2
52,mechanism,1
53,method,1
54,minimization,1
55,model,11
56,network,3
57,neural,3
58,next,1
59,no,1
60,nonlinear,1
61,not,7
62,number,1
63,numeric,4
64,of,4
65,offset,1
66,on,1
67,one,2
68,optimization,1
69,output,3
70,outputs,1
71,over,1
72,parameter,1
73,parameters,3
74,part,1
75,patterns,1
76,people,1
77,predicted,1
78,prediction,3
79,predictor,1
80,predicts,1
81,probabilities,4
82,probability,2
83,produces,2
84,prompt,3
85,reason,1
86,reduces,1
87,relevant,1
88,repeated,1
89,represents,2
90,scales,1
91,shifts,1
92,slows,1
93,statistical,1
94,stops,1
95,sum,1
96,sums,1
97,text,5
98,the,1
99,to,2
100,token,7
101,tokens,2
102,trained,3
103,training,5
104,truth,1
105,understand,1
106,understanding,1
107,unit,1
108,updated,1
109,updates,1
110,using,2
111,vector,1
112,weight,3
113,weighted,1
114,weighting,1
115,what,1
116,when,1
117,word,2
118,zero,1
